nit,nombre,desc_ciiu_division,desc_ciuu_grupo,desc_ciiuu_clase,subsec
805027024,SUPERMERCADO LA GRAN COLOMBIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS,CARNES FRIAS
890100026,CAMAGUEY SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS,CARNES FRIAS
801004045,DON POLLO SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS,CARNES FRIAS
900319372,RED CARNICA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS,CARNES FRIAS
800198020,CARNES CASABLANCA S A,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS,CARNES FRIAS
800072556,SEATECH INTERNATIONAL INC,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","PROCESAMIENTO Y CONSERVACION DE PESCADOS, CRUSTACEOS Y MOLUSCOS",CARNES FRIAS
802011109,GRUPO ALIMENTARIO DEL ATLANTICO SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS","PROCESAMIENTO Y CONSERVACION DE PESCADOS, CRUSTACEOS Y MOLUSCOS",CARNES FRIAS
800208785,CONGELADOS AGRICOLAS SA CONGELAGRO SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"PROCESAMIENTO Y CONSERVACION DE FRUTAS, LEGUMBRES, HORTALIZAS Y TUBERCULOS","PROCESAMIENTO Y CONSERVACION DE FRUTAS, LEGUMBRES, HORTALIZAS Y TUBERCULOS",CONSERVAS
890102110,OLEOFLORES SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
890200656,PALMAS DEL CESAR SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
804017043,EXTRACTORA CENTRAL SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
800012375,QBCO SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
860005264,FABRICA DE GRASAS Y PRODUCTOS QUIMICOS LTDA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
900292211,REFINADORA NACIONAL DE ACEITES Y GRASAS SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
900015051,ACEITES MANUELITA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
890211902,PALMERAS DE PUERTO WILCHES SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
860000006,TEAM FOODS COLOMBIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,GRASAS Y ACEITES
860006127,CI SOCIED INDUSTRIAL DE GRASAS VEGETALES SIGRA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,PALMA AFRICANA
860401826,PRODUCTOS ALIMENTICIOS EL RECREO S.A.S,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
800245795,LACTALIS COLOMBIA LTDA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
830507278,GLORIA COLOMBIA S.A.S,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
890904478,COOPERATIVA COLANTA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
860004922,PRODUCTOS NATURALES DE LA SABANA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
860025900,ALPINA PRODUCTOS ALIMENTICIOS SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
890110964,ALIMENTOS DEL VALLE SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
890101897,COOLECHERA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
860053831,COMERCIAL ALLAN SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
900083863,CENTRAL LECHERA DE MANIZALES SA CELEMA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS LACTEOS,ELABORACION DE PRODUCTOS LACTEOS,PRODUCTOS LACTEOS
890700058,UNION DE ARROCEROS SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
830006735,ALIMENTOS POLAR COLOMBIA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
