nombre_equipo,nit,news_id,participación,categoría,recomendación
Latino-Asian Brotherhood,800000946,news18687,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800000946,news97858,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800000946,news97841,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800000946,news97846,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800000946,news97853,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800003644,news96518,Sector,Reputación,1.0
Latino-Asian Brotherhood,800003644,news96517,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800003644,news98466,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800003644,news98516,No aplica,Reputación,4.0
Latino-Asian Brotherhood,800003644,news75338,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800004800,news96252,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800004800,news96259,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800004800,news29742,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800004800,news43853,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800004800,news98425,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800006608,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800006608,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800006608,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800006608,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800006608,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800007813,news61577,Sector,Otra,1.0
Latino-Asian Brotherhood,800007813,news95924,Sector,Sostenibilidad,2.0
Latino-Asian Brotherhood,800007813,news95917,Sector,Otra,3.0
Latino-Asian Brotherhood,800007813,news11270,Sector,Sostenibilidad,4.0
Latino-Asian Brotherhood,800007813,news95943,Sector,Sostenibilidad,5.0
Latino-Asian Brotherhood,800007955,news26781,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800007955,news98466,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800007955,news98516,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800007955,news75338,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800007955,news47704,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800011161,news17955,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800011161,news96206,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800011161,news98425,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800011161,news96201,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800011161,news96221,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800012375,news44943,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800012375,news94365,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800012375,news94301,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800012375,news57873,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800012375,news26789,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800014246,news98362,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800014246,news98380,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800014246,news96165,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800014246,news96142,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800014246,news17812,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800015583,news96359,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800015583,news98466,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800015583,news98516,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800015583,news75338,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800015583,news12859,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800015615,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800015615,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800015615,news33238,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800015615,news98435,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800015615,news17539,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800018359,news18687,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800018359,news97858,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800018359,news97841,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800018359,news97846,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800018359,news97853,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800018771,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800018771,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800018771,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800018771,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800018771,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800019437,news33953,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800019437,news94988,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800019437,news96399,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800019437,news34631,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800019437,news97777,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800021308,news89002,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800021308,news95152,No aplica,Sostenibilidad,2.0
Latino-Asian Brotherhood,800021308,news12204,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800021308,news95136,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800021308,news95143,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800022371,news17819,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800022371,news31643,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800022371,news94756,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800022371,news97899,No aplica,Sostenibilidad,4.0
Latino-Asian Brotherhood,800022371,news97920,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800022450,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800022450,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800022450,news33238,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800022450,news98435,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800022450,news17539,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800022558,news13513,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800022558,news95664,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800022558,news76271,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800022558,news26494,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800022558,news95713,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800024151,news98362,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800024151,news98380,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800024151,news96165,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800024151,news96142,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800024151,news17812,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800024265,news95092,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800024265,news16650,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800024265,news14828,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800024265,news16678,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800024265,news95039,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800026404,news17955,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800026404,news96206,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800026404,news98425,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800026404,news96201,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800026404,news96221,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800027813,news98406,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800027813,news96165,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800027813,news96142,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800027813,news17812,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800027813,news13364,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800035156,news87925,Sector,Otra,1.0
Latino-Asian Brotherhood,800035156,news96925,Sector,Alianza,2.0
Latino-Asian Brotherhood,800035156,news86649,Sector,Otra,3.0
Latino-Asian Brotherhood,800035156,news17461,Sector,Otra,4.0
Latino-Asian Brotherhood,800035156,news10351,Cliente,Reputación,5.0
Latino-Asian Brotherhood,800035276,news96572,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800035276,news98521,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800035276,news98547,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800035276,news98524,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800035276,news29574,No aplica,Sostenibilidad,5.0
Latino-Asian Brotherhood,800035776,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800035776,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800035776,news98435,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800035776,news17539,No aplica,Descartable,4.0
